From,To,Notes
Pico pin 4 / GP2,U4 pin 2 (1A),PH0 source
U4 pin 3 (1Y),100R,then J2 pin 2 PH0
Pico pin 5 / GP3,U4 pin 5 (2A),PH1 source
U4 pin 6 (2Y),100R,then J2 pin 4 PH1
Pico pin 6 / GP4,U4 pin 9 (3A),PH2 source
U4 pin 8 (3Y),100R,then J2 pin 6 PH2
Pico pin 7 / GP5,U4 pin 12 (4A),PH3 source
U4 pin 11 (4Y),100R,then J2 pin 8 PH3
Pico pin 9 / GP6,U5 pin 2 (1A),/WRREQ source
U5 pin 3 (1Y),100R then SW1 WRITE throw,SW1 common -> J2 pin 10
+5V,1K then SW1 SAFE throw,SW1 common -> J2 pin 10
Pico pin 10 / GP7,U5 pin 5 (2A),/ENABLE source
U5 pin 6 (2Y),100R,then J2 pin 14 /ENABLE
Pico pin 11 / GP8,U5 pin 9 (3A),WRDATA source
U5 pin 8 (3Y),100R,then J2 pin 18 WRDATA
Pico pin 15 / GP11,4.7K,Q1 base
Q1 base,100K,GND
Q1 emitter,GND,
Q1 collector,OE_N,
+5V,10K,OE_N
OE_N,"U4 pins 1,4,10,13",all U4 output-enables
OE_N,"U5 pins 1,4,10",three used U5 output-enables
+5V,U5 pin 13,disable unused ch4
GND,U5 pin 12,unused ch4 input
J2 pin 16 RDDATA,1K then U6 pin 18 (B1),
U6 pin 2 (A1),Pico pin 12 / GP9,
J2 pin 20 WRPROT,1K then U6 pin 17 (B2),
U6 pin 3 (A2),Pico pin 14 / GP10,
U6 pin 1 DIR,GND,B -> A
U6 pin 19 /OE,GND,enabled
U6 pin 20 VCC,Pico pin 36 3V3 OUT,
U6 pin 10,GND,
"U6 pins 16,15,14,13,12,11 (B3-B8)",GND,unused inputs
+5V,U4 pin 14; U5 pin 14,
GND,U4 pin 7; U5 pin 7,
"J2 pins 1,3,5,7",GND,
J2 pin 9,-12V,
"J2 pins 11,12",+5V,
"J2 pins 13,15,17,19",+12V,
Pico GND (e.g. pin 38),SYSTEM GND,common reference
Pico pin 40 VBUS,NO CONNECTION to adapter +5V,do not backfeed USB
